"keys","zh","en"
"option_49d82d82ce04400497bc3e95ec6b6c31","可能也像我们一样在哪个地方",""
"content_f33e34e131e94081a0d975624714482a",".....不可能！！",""
"option_b31715547be844028f31bf6b64d3bfd2","你的爸妈已经不在了...",""
"content_9b158d21b9e347a0ad15c065ad34dfb3","快点把他找回来，找不到就不要回来了！",""
"content_2a276a41601c4c7096e5c349c24cba50","快点把他找回来，找不到就不要回来了！",""
"content_f6ea138988304f369cdd206e29011a92","跑得还真快！究竟是跑到哪里去了？这么大的雪根本找不到人...",""
"content_6b87949559f146b1bca8c36d4a023451","....雪....",""
"content_a545034444fa4ce48652fb24d87cf994","对了，地上会有脚印！！",""
"content_baa4284eb95f4698961e3e4ae31c4a6b","站住！！",""
"content_9e481a672d494c38974f6ddf95b912a0","不！！我要去找爸妈！！",""
"content_c32bdf959b3e413592471e513d75db02","....雪....",""
"content_91bc7eec2a3c4b35b57a7c1c9ebf2b81","对了，地上会有脚印！！",""
"content_5b41e035a0fc418688b6f9ccac8794fc","终于找到你了！！现在还在下大雪，我们先回去吧！",""
"content_6e186100ef31433b854c57a87be15f07","哈...哈...哈.....",""
"content_b3c330b29ade410ca3c42c366eb21033","终于找到你了！！现在还在下大雪，我们先回去吧！",""
"content_fc266aa9d8c5451a934dab2d9954af9f","（该怎么跟他说呢？）",""
"content_b40af80211c64b43818037b137d69e23","你的爸妈当时在飞机上，而之后飞机没坠毁的可能性几乎为零...",""
"content_02d2b96fa5164a7ebd2a97a306bcf963","刚才我可能说得太绝对了，你爸妈可能还活着。",""
"option_11a6b83a5015480597cb7a666fabe244","你的爸妈估计已经不在了...",""
"option_d2f3d3a701954cfea8dd57a2e6fe60b0","等雪小一点再去找",""
"content_2cf1d1f380094c3d9b5d81144522f762","虽然真相很残酷，但是我觉得给你虚假的希望更加残酷...",""
"content_908255f6b0c445159f82db0514cce385","你现在能够活着已经是一个奇迹了，你的爸妈肯定也不希望你因为找他们而白白送掉性命。",""
"content_b97453de972d43a486dcb987d25bd659","呜呜...呜...我...不信！！我爸妈肯定还活着！",""
"content_f48268b84282424381b292870bd8b723","这样吧，雪小一点我们再去找飞机在哪里好吗，你看现在雪这么大根本没办法寻找。",""
"content_c03cfb62a2264d968b168ba1b2e17ab9","呜呜...好...吧...",""
"content_02a6641d49f847f084f1ca5717c9d536","嗯，我们先回去吧，这里太冷了。",""
"content_987e89387bbd4d01bd8e28ef5116ee6a","你们可算回来了！",""
"content_d23e7af52dbc4062a0f52320f70dc3c2","小朋友你在外面冷坏了吧！往火炉这里靠近一点！",""
"content_96aa3c337ea74787b741397664fc62fe","(抽啼)呜...呜，不..用..了...",""
"content_5785909605f0468f91a469d6ae248950","话说我们都不知道各自的名字呢，我叫拉伊莎。",""
"content_44602bad59794e71ab3b3da4e728f867","我...叫...乔伊。",""
"content_e7c4c5bb7e0f450b8d8acf22da5b73fd","是乔伊啊，嗯嗯。",""
"content_f779b84b8f724379bf95c83e7181c9a9","那怎么行！！",""
"content_a1e3f5ff47d648e7ab544cfc4d2079ef","那么你呢？",""
"content_8d004235754740938e35b33b7137c534","我是沈启。",""
"content_82df08861dea49488f5c546333367cc6","嗯嗯，这样我们就都算认识一遍了，接下来我们就要齐心协力度过眼前的难关了！",""
"content_1096304b33ba4bedb231471d0b7ac967","(肚子响起的声音)",""
"content_45ed23d7298d49f9beef887c344ea70a","刚...刚才可不是我这边发出的声音！！",""
"content_9817a1f50dba4867b45d5674eaf5a056","噗嗯！看来第一个难关是食物啊，不过在这里要怎么找食物呢？",""
"content_e9226eef896f42e7a4f4f16ff74b5196","我刚才在地下室看到了一些箱子，里面可能有一些吃的。",""
"content_5e9ea819b0a84242b6ee222a6f0571c4","真的！？那麻烦你再下去看看吧。 ",""
"content_5864299e6cac4c7e929411b5bc6a4e25","我叫拉伊莎，小朋友你呢？",""
"content_58867bd856a448f1a6ddbc0c687da981","我..我叫乔伊。",""
"content_29ba471463cb4c0fa7cc71c6232a1235","嗯嗯是乔伊啊。",""
"content_e8e45afc650842df9b9c798ad7d48b16","那么你呢？",""
"content_5fa9ddcf74844b168646ee805aa9e370","我是沈启。",""
"content_b8d0df33e9e34d9792014148473fa575","嗯嗯，这样我们就都算认识一遍了，接下来我们就要齐心协力度过眼前的难关了！",""
"content_a6171b06561143809eddaa18a17dc3f7","毕竟我们都没有看到飞机坠毁，我们都能奇迹般地活着，也许飞机上的人都没事。",""
"content_a4963bcd7d054ddb8d9f21e6ea62b77e","不过现在雪太大了，等雪小一点我们再去找飞机在哪里好吗？",""
"content_ae524ae9c7944fb8814f4086b3696b75","呜呜...呜..！！我爸妈肯定还活着！",""
"content_42fd9fa6725942af97efeb5c03476c6b","呜呜...好...吧...",""
"content_168049d3ede449f3b2a7ed715e7994d5","嗯，我们先回去吧，这里太冷了。",""
"content_0eeb0e4f72d4465ea8edc148af28d45d","快点把他找回来，找不到就不要回来了！",""
"content_6246d91093ec41bf86e86d8a78eca309","外面太冷了，我可不想去外面收集柴火...",""
"content_43a5a4fcc7c246db96c7d3b3f585188d","醒了吗？身体感觉怎么样？",""
"content_6e239ffaffeb4cf1aa54281661d81222",".....",""
"content_f5e6b0c2f6624adfb4ccb87935426de3","这里....是在哪里？？",""
"content_f6282ac694b347bd9ff10d3ad04efdb7","现在我们在一间小屋避难，刚才我们都从飞机上甩下来了...",""
"content_9246c9b9dbf147c6b8e81a5a68f26596","那我的爸妈现在在哪里！？他们还在飞机上！！",""
"content_0c63e9e00e55453abd207775c80cae24","(在飞机上的话，恐怕他的父母已经....)",""
"content_6892f8765e3241d0a4707b4227fc8799","(该怎么和小男孩说呢？)",""
"content_faf253861755478aa090c6b114920790","你对一个小孩说些什么啊！",""
"content_810d94901cd6453697c30953bfde2c1e","既然我们都能活下来，相信在飞机上的人也会没事的。",""
"content_f2d68ffb251d4c8b95e322f81d809843",".....不可能！！",""
"content_29040a3362b74f5e90ddb21059143bbe","我爸妈肯定还活着！现在我就要去找他们！！",""
"content_80aca25967854626a4b9180c4a6c74d2","赶快出去找他！！外面还在下暴风雪啊！",""
"content_0a73767b41354048b4ee5881c140888f","...真的！？我要去见我爸妈！！",""
"content_96605cfd9226490aa1a96bef8d377f1f","我们会去找你爸妈的，但现在暂时还不行。",""
"content_cecb768db5fe4a15b9032e87e5ffaa10","现在外面还在下暴风雪视野很差，如果我们出去找人根本找不到。",""
"content_5f7fef89a8134700839e2ec1f6434885","等雪变小了再去找你爸妈，好吗？",""
"content_cc4eabc1923c44cca6f10b7acf8fd2da","...好吧， 不过别骗我哦！",""
"content_3cbcad4e7c92490d9dc4656a93c3f107","嗯嗯，骗人是小狗，我们拉勾约定好吗？",""
"content_58e96463f2aa47568e7969fd3b32ba2c","好！拉勾上吊一百年不许变！",""
"content_83c9ddd5622a4900b1160e15d113aa47","好啦，总之我们先不出去...那么我们先各自认识下吧。",""
"content_2ab8e63482fa4ee3844eebe56e76b8db","(肚子响起的声音)",""
"content_bc455d796a5c45fbaa9bbd42158544e0","刚...刚才可不是我这边发出的声音！！",""
"content_73b5042536884fd3a87f41a6efec0fb5","噗嗯！看来第一个难关就是食物了，不过在这里要怎么找食物呢？",""
"content_4bc1307e381642baa05ba9cb9555ee85","我刚才在地下室看到了一些箱子，里面可能有一些吃的。",""
"content_8e427b5340b34576a8d2d5b2fb1fa181","真的！？那麻烦你再下去看看吧。 ",""
"content_0853f7a6f72b46c7b2cc810e1c96e306","我叫拉伊莎，小朋友你呢？",""
"content_32c32cc7228c4d22acb16dd606402da1","我..我叫乔伊。",""
"content_6ecb4b24de014a94b191e41c3ec23744","嗯嗯是乔伊啊。",""
"content_e05c39bbb7c744d9a205a366f94155ca","那么你呢？",""
"content_f1a2c29984ae42faa438d6fca696a8c9","我是沈启。",""
"content_1525613351984c70949d1ffb08e65c20","嗯嗯，这样我们就都算认识一遍了，接下来我们就要齐心协力度过眼前的难关了！",""
"3aa07b047cc6486e9e2fb0fee0ae5f82","可能也像我们一样在哪个地方",""
"fdb34352ce604704bd738de364dfc01c","你的爸妈已经不在了...",""
"content_64c4af88d1de4fa0b12196d86baea86f","你们可算回来了！",""
"content_d77d9a41bd724c9c87c2d727419a9030","好像到现在我们都没相互认识呢...",""
"content_50a63f0e0ef54e2da418331393e27ca6","赶快过来暖吧！",""
"content_59255cc084b74dc4a8d60dabfc057b7c","肚子饿了吧？再稍微忍耐一下，这位大哥哥还在努力找食物。",""
"content_f0c22e5070834c60b6aa495119f7d109","...嗯...这里好冷啊...",""
"content_bbccd1b7de3442c79374e71094c6606e","嗯，再靠近火炉一点吧。",""
"content_80484b0a9de643bfafe44c4f34c31e78","...嗯...这里好冷啊...",""
"content_d7054ae6996f42cc8eadd8b66209c226","嗯，所以不要再像刚才那样一个人跑出去外面了。",""
"content_3ca7b5dfbda8404f9b1499e26f502dbf","这里还有地下室吗，也许地下室会有什么东西，下去看看吧。",""
"content_123d4d312adf41818cb31334b911597b","现在应该先出去找那个小孩！",""
"content_9da500c495bf4a8bb4dbf66c26d069e6","现在出去简直是自杀行为，去地下室找食物吧。",""
"content_870d534fa50d45eab3bbad5fcc1916bf","帮忙去地下室找下有没有食物吧。",""
"content_eceea1d9e1dc4ef8a0483ec64e3e81c2","这些柴火看上去还够用好几天。",""
"content_32c874db8f6d45d4b9f63db0fdfbf275","我看看这里有什么东西...",""
"content_3e851cc1ece0426693154b5013734296","太好了！真的有食物！",""
"content_e43f31bfa70e42e981b0692a599b6ce4","罐头食物...和压缩饼干...",""
"content_d1a936f1f37e4610ad9ac7a813c0a8ad","看起来都是保质期长没过期的食物，好了，拿些食物上去吧！",""
"content_464c1dc02067486d9d099f69c1972fe1","醒了吗？身体感觉怎么样？",""
"content_443128bd02f745af860a5ee8ec4b9144",".....",""
"content_95c75956fbcb4e3e89d73bb6ddc29d33","这里....是在哪里？？",""
"content_0602c81f424f434dab28d68f07bfc707","现在我们在一间小屋避难，刚才我们都从飞机上甩下来了...",""
"content_870863dd22c44a4a84e8524dd79cf4c5","那我的爸妈现在在哪里！？他们还在飞机上！！",""
"content_3de1e9bd6ee9423c8baac1aec7ab026b","(在飞机上的话，恐怕他的父母已经....)",""
"content_52ef2d5592144a23a8628404b9fbcb1a","(该怎么和小男孩说呢？)",""
"content_b9b16f2715df476c8ceadae5a85cbbfe","你对一个小孩说些什么啊！",""
"content_6d21e3bbcb374bc1b396c0679155ef82","既然我们都能活下来，相信在飞机上的人也会没事的。",""
"content_a61d4524acf848ebb9e64b98a3c09836",".....不可能！！",""
"content_235f338ce4a14305b19ccffd72e11193","我爸妈肯定还活着！现在我就要去找他们！！",""
"content_0e0de6af4a774c08b80a78e06a1b5719","赶快出去找他！！外面还在下暴风雪啊！",""
"content_c923bf5834c14762853bafe6ac8b68db","...真的！？我要去见我爸妈！！",""
"content_13205c679245458098a9909663c75073","我们会去找你爸妈的，但现在暂时还不行。",""
"content_1d26339c6a604eebb7459b92bc199c7e","现在外面还在下暴风雪视野很差，如果我们出去找人根本找不到。",""
"content_94ff41a6f4e34d95a45fa03bfdad251d","等雪变小了再去找你爸妈，好吗？",""
"content_1aa7372efc0f40e0966232326a0a7ebb","...好吧， 不过别骗我哦！",""
"content_ef97176b77a64818b82cd39dd97260e6","嗯嗯，骗人是小狗，我们拉勾约定好吗？",""
"content_d1a89390415f4e569c93bc0fe4c1b206","好！拉勾上吊一百年不许变！",""
"content_753ce9625d704982b3b1e9491a0589bf","好啦，总之我们先不出去...那么我们先各自认识下吧。",""
"content_b2b548e86d3f41b1af9d453294c6a89b","(肚子响起的声音)",""
"content_ff2935f24cfa474293b1b7882d8e9aed","刚...刚才可不是我这边发出的声音！！",""
"content_08937979997847ebb7202b88f118cdbc","噗嗯！看来第一个难关就是食物了，不过在这里要怎么找食物呢？",""
"content_6b6d99ee64ac4ca8922b622d2c51b8da","我刚才在地下室看到了一些箱子，里面可能有一些吃的。",""
"content_58413fdc15bc4b60b903b48a3633aff2","真的！？那麻烦你再下去看看吧。 ",""
"content_faec4e01ecb94345b824f67899ef027f","我叫拉伊莎，小朋友你呢？",""
"content_4320c3de8b014ea19beea7fe0d801d51","我..我叫乔伊。",""
"content_fa2b65a5f1eb4bd6a5c5df5b015d021e","嗯嗯是乔伊啊。",""
"content_80d4a0f36d984f8ea4365e982396850b","那么你呢？",""
"content_98c2444fc8954997afa8176d5172b54a","我是沈启。",""
"content_beafe99688e744d1b5d447a4b5ad6ffe","嗯嗯，这样我们就都算认识一遍了，接下来我们就要齐心协力度过眼前的难关了！",""
"75b387ce69a642f29155a83c89bc543c","可能也像我们一样在哪个地方",""
"520ec048b489470db3775c5c8e8ae8ed","你的爸妈已经不在了...",""
"content_f9be221deae0409fb2c0985715bdc795","这里有一些罐头食物，有几种口味，你们要选择哪一种？",""
"content_af8bf2855a164a20ade1b502fbf72c1f","我要金枪鱼吧。",""
"content_152aa75bea4e40d78ac91482e6e608da","那我要热狗！",""
"content_53ba55c989d540bfab550f88b381c769","这里可没有这样的东西哦。",""
"content_782a9afc1ac84c7883d40a081a5afa8b","唉！？可是我想要热狗！",""
"content_dbc38e6fccc34baa9b0861aa59131b3c","现在在这里有得吃就算不错了，先吃个午餐肉罐头将就下好吗？",""
"content_f8e9a430ba4c45138ced2f1ba05b6312","不要！我就要热狗！！！",""
"content_7facf9324e3142c997f4ba530747c7e4","现在在这里有得吃就算不错了，先吃个午餐肉罐头将就下好吗？",""
"content_6d6bf9cd292a4e5797852c4456368893","（该怎么办呢？）",""
"option_d88411bb93b54492be8f799ce029b9b6","向伊莉莎求救",""
"option_8add11917acc4caab160c2b467e07551","温和地劝说",""
"content_b92d7a6c43bd46ecb0eb692db17c6712","我也想吃热狗呢，可是现在是困难时期，这里可没有热狗。",""
"content_3b118e26b9894b028c8ffe4bde85ded1","不要任性了！！现在我们正处于危险的情况！任何",""
"content_8d716b951ffb4d36b2c3d1a22e25cbfc","不要任性了！！现在我们正处于危险的情况！任何",""
"content_3e14bf6d661b4b009b8dde109aaae430","不要任性了！！现在我们正处于危险的情况！",""
"option_b18ce08197dc4fe1af710dc225aef08b","严厉的劝说",""
"content_0c0ab778393e45ab9901d7abfbc7aa1f","保持自己身体的热量等待救援是最关键的！这种情况下还挑食只会降低自己的生存概率！",""
"content_dbf82eee91d3428b87ee5f44c231d432","这种东西！我才不吃！！",""
"content_246ad952247a48fbb798e5b43f190efc","保持自己身体的热量等待救援是最关键的！这种情况下还挑食只会降低自己的生存概率！",""
"content_6acac6ffd1ea476da98af1a18267f841","保持自己身体的热量等待救援是最关键的！这种情况下还挑食只会降低自己的生存概率！",""
"content_3c2594848d064cd7a9f7f2803eecfa49","你做什么！！不要浪费食物！！",""
"content_63c4a35b9fb54e62a16c0550da75f0d6","哼！！",""
"content_5e8742d4bcb94f639a1caea52de105b7","好了你们两个都停一停！！",""
"content_d91185c7c6de4a98bc182bf1cfd6052d","沈启你对一个小孩子别那么计较！",""
"content_18820da0931f42318304b6e96685ee59","乔伊！你也是的！现在这种情况只能先忍耐，等救援来之后我请你吃热狗吃到撑！！",""
"content_de13dd658c64456497dda941b154c131",".....",""
"content_d550b2f7b7604e8abb8472a25c875c97","乔伊！你也是的！现在这种情况只能先忍耐，等救援来之后我请你吃热狗吃到撑！！",""
"content_f5bd5c4517194d9cb3a15bce342418b5","...真的...？",""
"content_562dc06d5bfc4826a0ab9b45e4937d7d","嗯，到时候你没吃撑就不许走！",""
"content_0c2ea0fa2aad46dbb9ee4be2b85f7c80","现在先吃点东西吧，来我这里，我分点金枪鱼给你吃。",""
"content_d28dd75d02324cc69fc08e6f00a9d492","...好吧...",""
"content_afedff50345b4964a13ab1c544e2e0ac","先将就一下好吗？",""
"content_e00045115e1147ab8b343130c5371d64","不要！！我不想吃这种东西！！",""
"content_17b310bc2e114a8ba735674f4c32a694","你做什么！！不要浪费食物！！",""
"content_8338074ef36e4578a42613406a3af1d2","（向伊莉莎投去求助的眼神）",""
"content_42b06b3af1ff476181fa21c8b63bae28","乔伊，我知道你现在很想吃热狗，说实话我也不喜欢吃罐头食物。",""
"content_2a2178b663c54829b464e65c8d2725f7","不过没办法啊，不吃东西的话可撑不到救援的到来。",""
"content_8b7f6e21a2e74fed9a2aa3f30f8bec49","吃点东西你才能坚持到和爸妈重逢的时候，你不想再见到你的爸妈了吗？",""
"content_323f6bfd90404cf8a84bd0a7682c811c","...好吧...",""
"content_e8be6f53b82c4bc7a7f2b5e832cfb54b","嗯嗯，这才是好孩子。",""
"content_5988888d55024dc39e76facf8315d5b3","好了，接下来我们应该先理清楚目前的现状。",""
"content_5afd98dbf8d94daa98a86f895f295f14","现在我们的情况是从飞机上被甩出去，因为正好这里的雪很厚，所以基本上没受到什么大伤。",""
"content_20911fc0149d4fa6ba1cf88ae93e63da","嗯嗯，从飞机上掉下来只收了点轻伤简直就是奇迹。",""
"content_3362cbdab1a74c94994d728203052c80","记得最后当时飞机是处于坠落的状态的...",""
"content_be089cc749d04fa4a831f11418328081","飞机上的人应该没事吧...",""
"content_0e5446d0c8794249a0d35e3700167a04","我爸妈一定会没事的...",""
"content_3e32ab5ee05640e8a548576ff93790d3","...总之无论飞机有没有坠毁，肯定都会有人发现我们不见了。",""
"content_0d91a510ebfc4f23b2652e43d3a4f6c1","嗯嗯，救援肯定会来的，我们要坚持下去。",""
"content_a6252442d92848048892791566bee5e2","",""
"content_cce05b982b1a4e32b731e1457e16d587",":visible=""tracker.nst(context.current_node.id) <= 1""{现在我们有许多需要搞清楚的事情，首先是：}
:visible=""tracker.nst(context.current_node.id) > 1""{接下来应该要搞清楚的是：}",""
"option_12d81c6395a64e3594c65e51e120384d","这里是哪里？",""
"option_199887271801414397eb15e94f2bf91d","",""
"option_8fab2af52d5a48529d246e7dc8e14e71","救援什么时候到？",""
"content_85de243cee2a4dd19378c12cb4f54bdf","这间小屋物资挺充裕的，应该是那种专门给人避难的小屋。",""
"content_730ca804375e4cda8f635a21ad52c3c6","有这样一间小屋，说明这座山应该不是那种荒芜人烟的地方。",""
"content_b4144e5f6cf54c54967d9b832e88cd88","哦哦！！这么说不是会很快有人会来救我们吗！",""
"content_5948f357f5434339a9218bc7c17b2d98","那太好了！！我一刻也不想呆在这里！！",""
"content_2bfa8e4212354190846d8bda1d87de26","虽然这种可能性也不是没有，不过你看下罐头上的生产日期？",""
"content_9d1d51894be340a687407dc826bef25b","唔...一年前？这又能说明什么呢？",""
